Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_42,AERGEN AIRCRAFT TWENTY THREE LIMITED,IE586457,IE,3.2875778090787056,-0.0572318356827998,-0.05391195489249818,3.1684974835230326,4.352799742563313,0.0,-0.13263041734421974,-0.6570635466261463,0.0709951307856066,0.0028903356937127907,-0.8658860143292567,1.7558748556724915,"(53.3498006, -6.2602964, 0.0)",1
EASIN_43,AERIANE,BE0436888691,BE,3.8547916940539855,-0.053995355250103766,-0.051360725154771004,2.403120521175818,3.6103407114521566,3.3191060593097763,-0.13804658937812037,0.11033107358492986,0.20639773296075156,0.03952719974683155,0.7420868350915417,0.8450980400142568,"(50.58394845, 4.717293944137094, 0.0)",15
EASIN_44,AERMACCHI,IT05898080154,IT,5.440433615608442,-0.03582055328268069,0.02806424739442795,4.6558104944952525,5.911225278804104,5.233673690469636,-0.0581580518780863,0.11033107358492986,0.028912774182903708,0.02368030220004606,-0.16420325144577955,3.2643455070500926,"(45.7513827, 8.9047602, 0.0)",14
EASIN_45,AERMATICA3D S.R.L.,IT03630610131,IT,3.1598678470925665,-0.055655688420056214,-0.052260834347951805,1.9242792860618816,3.0060379549973173,2.5599066250361124,0.3629493237576865,0.1391971906646289,0.0982962664583955,0.052175640908027315,0.27720696002508705,0.6020599913279624,"(45.80471845, 9.00152571456867, 0.0)",14
EASIN_46,"AERNNOVA AEROESTRUCTURAS ALAVA, S.A.",ESA01142207,ES,4.3768870566640485,-0.10896407566264195,-0.12130417939297959,0.0,4.729796325992063,3.1986570869544226,-0.25314024509850847,-2.077720601056258,-7.939378690848417,-0.2938391862603166,-0.7079171247435683,2.534026106056135,"(42.682852, -2.8589445, 0.0)",5
EASIN_47,AERNNOVA AEROSPACE SA,ESA01288836,ES,5.415018445440841,-0.29134816663578406,-0.34787767752922605,0.0,5.960814556998193,5.172272998951876,0.020376442613472635,-0.818713802272461,-0.3722760356834932,-0.05686264496434996,-0.30682659175742977,1.9444826721501687,"(42.8465088, -2.6724025, 0.0)",5
EASIN_48,"AERNNOVA AIRCRAFT SERVICES, S.A.",ESA01332824,ES,4.191143489954898,-0.05161476487403111,-0.04867696400209697,2.876217840591642,4.051229723493163,3.2607866686549762,-0.2599104601408842,0.2977387875485144,0.5436081238767745,0.9177942463535397,-0.30893284361857226,1.8864907251724818,"(42.8465088, -2.6724025, 0.0)",5
EASIN_49,AERNNOVA ANDALUCIA ESTRUCTURAS AERONAUTICAS SA,ESA91067918,ES,3.9083777724323947,-0.08882025886550063,-0.0940579293368197,0.0,4.321308389775909,3.6766936096248664,-0.09471721310691546,-3.830560048957367,-1.6383868851876184,-0.476732737763584,-0.11455588614742035,2.1903316981702914,"(37.4867198, -5.9814868, 0.0)",6
EASIN_50,AERNNOVA COMPOSITES ILLESCAS SA.,ESA45699998,ES,4.711672281636422,-0.09606960087515214,-0.09830997889969832,0.0,5.080178976405419,4.243608460959357,-0.09200912708996514,-0.7010288634090724,-0.5406054620943048,-0.08288644919255733,-0.35797842267089075,2.4409090820652177,"(40.1248436, -3.8492688, 0.0)",4
EASIN_51,AERNNOVA COMPOSITES SA.,ESA45714425,ES,4.751363798548874,-0.05086176870399634,-0.048008784785073186,3.844725627973226,4.640541061410289,4.228374690421907,-0.35875559975957044,0.12454208507032016,0.07027813126288689,0.10393248060211573,0.36837757630025586,1.4313637641589874,"(40.1248436, -3.8492688, 0.0)",4
EASIN_52,AERO CONSULTING & TRADING COMPANY,BE0837573818,BE,3.8547916940539855,-0.054907369244866375,-0.051576088704059664,2.3324384599156054,3.665299499499897,2.92272545799326,-0.25584833111545874,0.11033107358492986,0.25471247003017194,0.03952719974683155,-0.2523649364907448,0.3010299956639812,"(51.1266908, 3.5884951, 0.0)",-1
EASIN_53,AERO GEARBOX INTERNATIONAL POLAND SP. Z O.O.,PL361860421,PL,4.00021709297223,-0.050468901137021675,-0.042127703246806,2.780677274433368,4.69860504366627,4.601364563666311,-0.2287674709459557,0.5482078649785185,0.03288384846258209,0.03952719974683155,1.6089599225131959,2.1072099696478683,"(50.0528608, 21.6116324, 0.0)",16
EASIN_54,AERO SUD OUEST - ASO,FR811218981,FR,2.444044795918076,-0.06185270658959702,-0.0590751579331365,0.0,3.703463341883293,3.5434471800817002,-0.301885793403614,0.11033107358492986,-0.40669201277403927,-0.5507333877756373,1.2851989221432898,0.7781512503836436,"(43.4945144, -1.4736657, 0.0)",-1
EASIN_55,AEROCO AIRCRAFT ENGINEERING LIMITED,GB08337076,GB,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,2.7075701760979363,0.0,-0.28157514827648666,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.7954770235424927,1.9344984512435677,"(53.407901, -2.160243, 0.0)",17
EASIN_56,AERODYNE AIRCRAFT DEVELOPMENT LTD.,GB12088010,GB,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,5.483661455868672,5.483661455868672,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,2.212551527292036,1.7558748556724915,"(51.2356068, -0.5732063, 0.0)",0
EASIN_57,AEROESPACIAL ESPANOLA SA (CAESA) - OEG SOLUTIONS SL - AVIONICA MANTENIMIENTO Y DISENO SL (AVIMADIS)- CENTRO AEREO IBER S,ESU88159769,ES,3.185542154854375,-0.05452385566758159,-0.05092447591390424,2.439332693830263,2.8756399370041685,2.5888317255942073,-0.13804658937812037,0.8346485652309166,0.7818725806574778,1.0833870564983898,0.7550252393814172,1.7558748556724915,"(40.4167047, -3.7035825, 0.0)",4
